Label,Link,Fridge,Freezer,Pantry
APPLE JUICE - COMMERCIALLY FROZEN CONCENTRATE,https://www.stilltasty.com/Fooditems/index/16371,6,365,
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED ",https://www.stilltasty.com/Fooditems/index/16372,8,300,
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16373,,300,630
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - OPENED",https://www.stilltasty.com/Fooditems/index/16374,8,300,
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - UNOPENED",https://www.stilltasty.com/Fooditems/index/16375,7,300,
APPLES -  COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16381,,365,
"APPLES - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16382,3,330,
"APPLES - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16383,30,330,6
"APPLES, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18822,270,450,270
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - OPENED ",https://www.stilltasty.com/Fooditems/index/16388,7,30,
"APPLESAUCE, COMMERCIALLY BOTTLED OR PACKAGED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16389,,30,450
"APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/16392,6,300,
"APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16393,,300,450
"APRICOTS — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16401,3,330,
"APRICOTS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16402,4,330,2
APRICOTS — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16400,,365,
"APRICOTS, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16403,,,360
"APRICOTS, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18823,270,450,270
"AVOCADOS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16426,3,120,
"AVOCADOS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16427,4,120,5
"BANANAS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16450,3,60,
"BANANAS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16451,6,60,3
"BANANAS, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18824,270,450,270
"BLACKBERRIES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16549,2,330,
BLACKBERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16548,,365,
"BLACKBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/16556,8,300,
"BLACKBERRY JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16557,,300,630
"BLUEBERRIES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16577,7,330,
BLUEBERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16576,,365,
"BLUEBERRIES, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18825,270,450,270
"BOYSENBERRIES — FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16602,2,330,
BOYSENBERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16601,,365,
"CANTALOUPE - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16676,4,330,1
"CANTALOUPE MELONS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16675,4,330,
"CASABA MELONS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16708,8,330,3
"CASABA MELONS — FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16707,4,330,
"CHERIMOYA - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16751,1,330,3
